,,,,,,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011
AMC Name,Scheme Name,Asset Type,Asset,Instrument Name,Industry,Holding %,Holding %,Holding %,Holding %,Holding %,Holding %,Holding %,Holding %,Holding %,Holding %,Holding %,Holding %,Holding %
Axis MF,Axis Bluechip Fund(G)-Direct Plan,Others,Deposits,Axis Bank Ltd.,Bank - Private,,,,,,,,1.3945,,,1.0020,,
Axis MF,Axis Bluechip Fund(G)-Direct Plan,Others,Deposits,HDFC Bank Ltd.,Bank - Private,,,,,,,,0.0482,,,,,
Axis MF,Axis Bluechip Fund(G)-Direct Plan,Others,Deposits (Placed as Margin),Axis Bank Ltd.,Bank - Private,,,,,1.4359,1.2418,1.4032,,1.2701,1.2080,,0.9465,0.9409
Axis MF,Axis Bluechip Fund(G)-Direct Plan,Others,Deposits (Placed as Margin),HDFC Bank Ltd.,Bank - Private,0.8253,0.5606,0.5168,0.4144,0.4933,0.4266,0.2153,,0.0439,0.0119,,,
Axis MF,Axis Bluechip Fund(G)-Direct Plan,Others,Derivatives-Futures,Cipla Ltd.,Pharmaceuticals & Drugs,,,,,,1.1729,,,,,,,
Axis MF,Axis Bluechip Fund(G)-Direct Plan,Others,Derivatives-Futures,Housing Development Finance Corporation Ltd.,Finance - Housing,,,,,,,,,,,,0.4920,1.1417
Axis MF,Axis Bluechip Fund(G)-Direct Plan,Others,Derivatives-Futures,ICICI Bank Ltd.,Bank - Private,,,,,,,,,,,,0.1392,0.5032
Axis MF,Axis Bluechip Fund(G)-Direct Plan,Others,Derivatives-Futures,Kotak Mahindra Bank Ltd.,Bank - Private,,,,,,,,,,,,,0.2732
Axis MF,Axis Bluechip Fund(G)-Direct Plan,Others,Derivatives-Futures,Maruti Suzuki India Ltd.,Automobiles - Passenger Cars,0.8987,,,,,,,,,,,,0.2394
Axis MF,Axis Bluechip Fund(G)-Direct Plan,Others,Derivatives-Futures,NIFTY 50 Index,Index,1.0012,2.0291,2.9642,,,2.3354,2.9762,,,,,,
Axis MF,Axis Bluechip Fund(G)-Direct Plan,Others,Derivatives-Futures,Reliance Industries Ltd.,Refineries,,,,,,,,,,,,,0.1456
Axis MF,Axis Bluechip Fund(G)-Direct Plan,Others,Derivatives-Futures,State Bank Of India,Bank - Public,,,,1.2184,,,,,,,,,
Axis MF,Axis Bluechip Fund(G)-Direct Plan,Others,Derivatives-Futures,Sun Pharmaceutical Industries Ltd.,Pharmaceuticals & Drugs,,,,,,1.3521,1.0457,,,,,,
Axis MF,Axis Bluechip Fund(G)-Direct Plan,Others,Derivatives-Futures,Tata Steel Ltd.,Steel & Iron Products,,,,,,,,,,,,,0.4137
Axis MF,Axis Bluechip Fund(G)-Direct Plan,Others,Rights,Reliance Industries Ltd - Partly Paid up Equity Shares (Rights Entitlements (REs),Unspecified,,,,,,,,0.1316,0.1770,0.1706,0.1864,0.1551,0.1220
Axis MF,Axis Bluechip Fund(G)-Direct Plan,Others,Rights,Reliance Industries Ltd. - (Rights Entitlements (REs)),Unspecified,,,,,,,0.0409,,,,,,
Axis MF,Axis ESG Equity Fund(G)-Direct Plan,Equity,Domestic Equities,Abbott India Ltd.,Pharmaceuticals & Drugs,,,,0.6013,1.3035,1.3752,1.3443,1.2204,1.1817,1.2231,1.2868,1.1597,1.0606
Axis MF,Axis ESG Equity Fund(G)-Direct Plan,Equity,Domestic Equities,Avenue Supermarts Ltd.,Retailing,,,,6.0835,8.5167,8.5319,8.4183,7.9562,5.7516,6.7139,7.7847,8.3716,7.7731
Axis MF,Axis ESG Equity Fund(G)-Direct Plan,Equity,Domestic Equities,Bajaj Finance Ltd.,Finance - NBFC,,,,,5.6022,5.3882,5.2836,7.3872,8.3208,8.7641,8.6096,8.4401,11.3751
Axis MF,Axis ESG Equity Fund(G)-Direct Plan,Equity,Domestic Equities,Bharti Airtel Ltd.,Telecommunication - Service  Provider,,,,,,,1.2078,1.1806,,,,,
Axis MF,Axis ESG Equity Fund(G)-Direct Plan,Equity,Domestic Equities,HDFC Bank Ltd.,Bank - Private,,,,,5.4312,6.4259,6.3263,6.8363,6.4969,6.8920,6.9621,7.4204,8.2070
Axis MF,Axis ESG Equity Fund(G)-Direct Plan,Equity,Domestic Equities,HDFC Life Insurance Co Ltd.,Insurance,,,,1.6332,5.5537,5.7964,6.2729,6.3507,7.1147,6.4030,6.4993,5.4719,4.0182
Axis MF,Axis ESG Equity Fund(G)-Direct Plan,Equity,Domestic Equities,Hindustan Unilever Ltd.,Household & Personal Products,,,,0.0541,8.1306,7.1383,6.9340,7.0890,7.0481,6.6304,5.5678,4.3140,4.0459
Axis MF,Axis ESG Equity Fund(G)-Direct Plan,Equity,Domestic Equities,Housing Development Finance Corporation Ltd.,Finance - Housing,,,,,7.9456,8.5702,4.3639,4.4534,4.4358,4.4791,3.5432,3.8045,4.0542
